should,actual
0.00161598727028556,0.0019779205322265625
0.00161598727028556,0.0019779205322265625
0.00161598727028556,0.0019779205322265625
0.00161598727028556,0.0019779205322265625
0.00161598727028556,0.0019779205322265625
0.00161598727028556,0.0019779205322265625
0.00161598727028556,0.0019779205322265625
0.00161598727028556,0.0019779205322265625
0.00161598727028556,0.0019779205322265625
0.00161598727028556,0.0019779205322265625
0.00161598727028556,0.0019779205322265625
0.00161598727028556,0.0019779205322265625
0.00161598727028556,0.0019779205322265625
0.00161598727028556,0.0019779205322265625
0.00161598727028556,0.0019779205322265625
0.00161598727028556,0.0019779205322265625
0.00161598727028556,0.0019779205322265625
0.00161598727028556,0.0019779205322265625
0.00161598727028556,0.0019779205322265625
0.00161598727028556,0.0019779205322265625
0.00161598727028556,0.0019779205322265625
0.00161598727028556,0.0019779205322265625
0.00161598727028556,0.0019779205322265625
0.00161598727028556,0.0019779205322265625
0.00161598727028556,0.0019779205322265625
0.00161598727028556,0.0019779205322265625
0.00161598727028556,0.0019779205322265625
0.00161598727028556,0.0019779205322265625
0.00161598727028556,0.0019779205322265625
0.00161598727028556,0.0019779205322265625
0.012792642269218106,0.0019779205322265625
0.06633647394828517,0.0019779205322265625
0.15598156761333112,0.0019779205322265625
0.2613307248068932,0.0019779205322265625
0.3858839159366569,0.0019779205322265625
0.5653965111489552,0.0048542022705078125
0.7659302581502411,0.044559478759765625
0.996789235550756,0.10256767272949219
1.2561084801456797,0.18877792358398438
1.5465917887711709,0.3115081787109375
1.8635905832343962,0.44800376892089844
2.2101951222096416,0.625640869140625
2.5761080591551426,0.8084316253662109
2.9700463552462204,1.0206680297851562
3.381768153673615,1.258392333984375
3.817947153599768,1.5188102722167969
4.274641307344819,1.8067779541015625
4.764516253955833,2.107198715209961
5.252718528718054,2.444866180419922
5.76263759590951,2.787599563598633
6.293807146577684,3.1799869537353516
6.842960602721719,3.5655860900878906
7.416897097279925,3.9837398529052734
8.005989341365687,4.401126861572266
8.613399694764349,4.847986221313477
9.219379557152854,5.324390411376953
9.807249590462902,5.805934906005859
10.38469938451281,6.293498992919922
10.940818966763354,6.811714172363281
11.480098559349152,7.321298599243164
11.996287834572959,7.881935119628906
12.498578165561456,8.438457489013672
12.97844519764419,8.942890167236328
13.43727276885356,9.52054214477539
13.88460084672086,10.07449722290039
14.355169095275523,10.651700973510742
14.850098880681562,11.219497680664062
15.3616305258381,11.77208137512207
15.886924922392769,12.31878662109375
16.394316847858747,12.799585342407227
16.871517976089645,13.29006576538086
17.322464478058752,13.814521789550781
17.736297862830796,14.327276229858398
18.141931231962378,14.81240463256836
18.50938224925491,15.314775466918945
18.857189384700202,15.821348190307617
19.18077749389449,16.312204360961914
19.477891304658655,16.791444778442383
19.747785267370197,17.256797790527344
19.989353894565664,17.7026309967041
20.20171952062945,18.13405990600586
20.3899210921408,18.529918670654297
20.535441701789846,18.91067123413086
20.642867134192155,19.260700225830078
20.73449909156478,19.587905883789062
20.80258126931791,19.871814727783203
20.834145441288776,20.12387466430664
20.836045575116948,20.351058959960938
20.836045575116948,20.528169631958008
20.836045575116948,20.66366958618164
20.836045575116948,20.765182495117188
20.836045575116948,20.803266525268555
20.836045575116948,20.81951904296875
20.836045575116948,20.824750900268555
20.836045575116948,20.825048446655273
20.836045575116948,20.825305938720703
20.836045575116948,20.8254337310791
20.836045575116948,20.8256778717041
20.836045575116948,20.8257999420166
20.836045575116948,20.8260440826416
20.836045575116948,20.826278686523438
20.836045575116948,20.8264102935791
20.836045575116948,20.8266544342041
20.836045575116948,20.8268985748291
20.836045575116948,20.827362060546875
20.836045575116948,20.82809829711914
20.836045575116948,20.83233070373535
20.836045575116948,20.8336124420166
20.836045575116948,20.8337345123291
20.836045575116948,20.8338565826416
20.836045575116948,20.8339786529541
20.836045575116948,20.8339786529541
20.836045575116948,20.8341007232666
20.836045575116948,20.834152221679688
20.836045575116948,20.8342227935791
20.836045575116948,20.8343448638916
20.836045575116948,20.834386825561523
20.836045575116948,20.8344669342041
20.836045575116948,20.8344669342041
20.836045575116948,20.8345890045166
20.836045575116948,20.8345890045166
20.836045575116948,20.8347110748291
20.836045575116948,20.8347110748291
20.836045575116948,20.8348331451416
20.836045575116948,20.8348331451416
20.836045575116948,20.8349552154541
20.836045575116948,20.8349552154541
20.836045575116948,20.8349552154541
20.836045575116948,20.8350772857666
20.836045575116948,20.8350772857666
20.836045575116948,20.8350772857666
20.836045575116948,20.8351993560791
20.836045575116948,20.8351993560791
20.836045575116948,20.8353214263916
20.836045575116948,20.8353214263916
20.836045575116948,20.8354434967041
20.836045575116948,20.8354434967041
20.836045575116948,20.8355655670166
20.836045575116948,20.8355655670166
20.836045575116948,20.8356876373291
20.836045575116948,20.8356876373291
20.836045575116948,20.8356876373291
20.836045575116948,20.8358097076416
20.836045575116948,20.835926055908203
20.836045575116948,20.8359317779541
20.836045575116948,20.8359317779541
20.836045575116948,20.8360538482666
20.836045575116948,20.8360538482666
20.836045575116948,20.8361759185791
20.836045575116948,20.8361759185791
20.836045575116948,20.8362979888916
20.836045575116948,20.8362979888916
20.836045575116948,20.8364200592041
20.836045575116948,20.8365421295166
20.836045575116948,20.8365421295166
20.836045575116948,20.8366641998291
20.836045575116948,20.8367862701416
20.836045575116948,20.8367862701416
20.82492013500158,20.8369083404541
20.771213047978726,20.8370304107666
20.681298000558716,20.8370304107666
20.57635924178849,20.8371524810791
20.45130500093756,20.8371524810791
20.27230062287278,20.834867477416992
20.070904558933393,20.803930282592773
19.842130652608798,20.757173538208008
19.581812648628063,20.67117691040039
19.29070195387391,20.546873092651367
18.973298296280095,20.406089782714844
18.630899299539013,20.25165367126465
18.26291359312711,20.056156158447266
17.86745290742277,19.843252182006836
17.45827669020737,19.607633590698242
17.019422376921316,19.348979949951172
16.565060404431417,19.06304168701172
16.0840376811457,18.751419067382812
15.590686683547933,18.408140182495117
15.07580064804831,18.080341339111328
14.546317431144427,17.69005584716797
13.995993642170104,17.301279067993164
13.424867093317106,16.889432907104492
12.836233242644218,16.49889373779297
12.232673166258087,16.028976440429688
11.624557761479409,15.54193115234375
11.032093517198934,15.083263397216797
10.454881531000153,14.576520919799805
9.895771634053222,14.042430877685547
9.362049806599018,13.531455993652344
8.84271613889951,12.9637451171875
8.341937986855957,12.465723037719727
7.8617984742767115,11.881479263305664
7.4025415679324835,11.300119400024414
6.953868308889122,10.741960525512695
6.4847578228110665,10.203168869018555
5.991105622665423,9.616449356079102
5.4742553047103675,9.087926864624023
4.952727215564238,8.572652816772461
4.4467997016711704,8.063364028930664
3.9694160399644236,7.559385299682617
3.521440094601989,7.0443572998046875
3.10376467695957,6.555591583251953
2.7028814488871147,6.053531646728516
2.3258283925496492,5.554628372192383
1.97998816241436,5.059759140014648
1.659771022403912,4.552511215209961
1.3609125845025911,4.09971809387207
1.0933695249468676,3.6351585388183594
0.8523357364916069,3.177013397216797
0.6374610215909896,2.734577178955078
0.45022308185959603,2.337522506713867
0.3028061626607608,1.9452934265136719
0.1965308218473562,1.6055030822753906
0.10407675211208792,1.2702865600585938
0.03643764539797557,1.0086688995361328
0.004686222109217809,0.7413978576660156
